Left_X,Left_Y,Right_X,Right_Y,Norm_X,Norm_Y,Gaze_Direction
243,259,310,258,0.5666666666666667,0.5,CENTER
238,264,309,262,0.5,0.5384615384615384,CENTER
253,265,322,265,0.7096774193548387,0.5833333333333334,RIGHT
244,257,313,258,0.46875,0.38461538461538464,CENTER
245,273,314,273,0.53125,0.42857142857142855,CENTER
264,297,337,296,0.5142857142857142,0.5,CENTER
264,297,337,297,0.5,0.5,CENTER
264,298,337,297,0.5,0.5625,CENTER
264,298,338,297,0.5,0.5625,CENTER
264,298,338,297,0.5142857142857142,0.5625,CENTER
264,298,337,297,0.5142857142857142,0.5333333333333333,CENTER
264,298,337,297,0.5277777777777778,0.5333333333333333,CENTER
255,301,330,301,0.3055555555555556,0.5333333333333333,LEFT
256,301,330,301,0.3333333333333333,0.5333333333333333,CENTER
255,301,330,301,0.3055555555555556,0.5333333333333333,LEFT
255,300,330,301,0.3055555555555556,0.4666666666666667,LEFT
255,300,330,301,0.3142857142857143,0.4666666666666667,LEFT
255,300,329,301,0.3142857142857143,0.4666666666666667,LEFT
255,300,330,301,0.3333333333333333,0.5,CENTER
280,304,354,305,0.7058823529411765,0.5384615384615384,RIGHT
280,304,355,305,0.6857142857142857,0.5384615384615384,RIGHT
280,304,354,305,0.6857142857142857,0.5833333333333334,RIGHT
280,303,354,304,0.6857142857142857,0.5454545454545454,RIGHT
280,301,355,303,0.6857142857142857,0.5833333333333334,RIGHT
281,299,356,301,0.7142857142857143,0.5384615384615384,RIGHT
267,281,340,283,0.4117647058823529,0.4375,CENTER
266,303,340,305,0.5,0.625,CENTER
216,293,295,292,0.4864864864864865,0.5588235294117647,CENTER
217,293,295,292,0.5,0.5588235294117647,CENTER
220,293,298,293,0.5,0.5294117647058824,CENTER
212,293,290,294,0.4722222222222222,0.59375,CENTER
212,293,290,294,0.5142857142857142,0.59375,CENTER
206,294,283,295,0.5142857142857142,0.59375,CENTER
209,294,286,295,0.5428571428571428,0.5588235294117647,CENTER
